generation,best_fitness,avg_progress,seed,weights_json
21,376.54,232.90,21,"[[[-3.288923978805542, 8.237275123596191, 1.6566352844238281, 0.9584921002388, -2.8060503005981445], [0.09664851427078247, -4.314444065093994, -0.7937093377113342, -2.814833164215088, 4.307944297790527], [0.12907928228378296, 4.138889312744141, 1.665823221206665, -5.367672443389893, 3.1087613105773926], [-1.5862538814544678, 2.1496143341064453, -4.434640884399414, 0.4592132568359375, -2.825972557067871], [4.608181476593018, 5.760025501251221, -6.298111915588379, -0.7977665662765503, -0.4910515546798706]], [-3.9125266075134277, 5.705448627471924, -0.5719788670539856, -2.656041383743286, -2.7544238567352295], [[0.3453056812286377, -2.6543474197387695, 5.0660881996154785], [2.596311092376709, -0.7380330562591553, 1.952038049697876], [3.883380174636841, -0.969986617565155, 1.3283216953277588], [5.971985816955566, 4.254434585571289, -0.11304020881652832], [-2.35876727104187, 8.179070472717285, -1.9921342134475708]], [-4.6113600730896, -1.243621826171875, 2.106966972351074], [[2.313582420349121, -2.1127429008483887, 0.8688468933105469], [5.605309963226318, -0.2399982511997223, -0.28986552357673645], [-0.2784399688243866, 0.5387740731239319, 6.865190505981445]], [2.366738796234131, -0.46994394063949585, -3.553863763809204], [[-10.08915901184082, 1.04349684715271], [-3.308835029602051, 1.404549479484558], [1.81480872631073, -3.7428781986236572]], [-2.3640072345733643, 2.4964616298675537]]"
22,138.00,44.87,22,"[[[-1.974624752998352, 7.697175979614258, 1.9527233839035034, 1.829624056816101, -0.056228164583444595], [-1.1003292798995972, -4.8027472496032715, -2.3560917377471924, -1.42952561378479, 5.026456356048584], [-3.139108896255493, 3.652665376663208, 2.6447482109069824, -5.034234523773193, 1.732027530670166], [-0.34183773398399353, 2.231661558151245, -3.4471819400787354, 3.1108076572418213, -4.152295112609863], [5.9578447341918945, 6.162253379821777, -5.271394729614258, -1.5716419219970703, -0.9730379581451416]], [-1.9254430532455444, 6.499515056610107, -3.623772382736206, -2.7257044315338135, -2.668334484100342], [[-0.06320375204086304, 0.14967474341392517, 5.8020195960998535], [3.525362968444824, 2.215466260910034, 1.2877261638641357], [1.14536714553833, 0.41904714703559875, 1.847774624824524], [4.447269439697266, 2.889716863632202, -0.5778650641441345], [-2.4168827533721924, 8.538229942321777, -0.20090313255786896]], [-4.9158935546875, -3.100877285003662, 3.1409173011779785], [[2.1786227226257324, -0.8361061811447144, -1.1680731773376465], [4.532250881195068, -0.411070317029953, -1.0006043910980225], [0.15214091539382935, -2.5054855346679688, 6.417425632476807]], [0.5816328525543213, 1.7325376272201538, -1.391417384147644], [[-10.1636962890625, 1.456894040107727], [-3.1336963176727295, 2.3697996139526367], [1.2049635648727417, -3.8417391777038574]], [-2.347970724105835, 1.7546669244766235]]"
23,501.76,436.57,23,"[[[-0.2807552218437195, 8.376323699951172, 1.9775129556655884, 0.5120336413383484, -0.20928697288036346], [-1.678572416305542, -5.108779430389404, -2.1204569339752197, -1.009518027305603, 3.323251724243164], [-1.893144130706787, 3.285334348678589, 2.559788465499878, -5.326780319213867, 1.2365875244140625], [0.5551134943962097, 3.0854485034942627, -3.5810530185699463, 1.9301642179489136, -3.8883228302001953], [7.301645755767822, 5.664108753204346, -5.134042263031006, -1.0174392461776733, -0.6442223787307739]], [-1.8034521341323853, 6.662533283233643, -2.539118766784668, -2.5949316024780273, -1.7624914646148682], [[-1.4768879413604736, 0.04094276204705238, 6.673246383666992], [3.5963642597198486, 2.7850072383880615, 0.8207927346229553], [0.3549046516418457, -0.6766121983528137, 3.000619888305664], [4.692863464355469, 3.527226686477661, -1.868234634399414], [-1.4398244619369507, 9.07387924194336, 0.46909549832344055]], [-5.367007255554199, -3.354193687438965, 2.680140495300293], [[2.47994327545166, -1.6759231090545654, -0.1286993771791458], [5.3198747634887695, 0.1681583672761917, -0.5631478428840637], [-0.24438831210136414, -3.0902366638183594, 6.053180694580078]], [0.4026181995868683, 1.6376891136169434, -1.5938581228256226], [[-10.275601387023926, 1.6672909259796143], [-2.394561767578125, 1.520596981048584], [1.627238154411316, -3.7868990898132324]], [-1.755712866783142, 1.9416662454605103]]"
24,34.00,20.97,24,"[[[-3.824897050857544, 9.167227745056152, 2.184929370880127, 1.2843376398086548, 1.3664705753326416], [0.84246826171875, -5.742727279663086, -1.955482840538025, -2.5946288108825684, 3.9141249656677246], [0.3260418474674225, 4.259652614593506, 2.105369806289673, -6.649948596954346, 1.3986512422561646], [-2.7261831760406494, 0.6485151052474976, -2.549844264984131, -0.4086686074733734, -4.820579528808594], [5.3579301834106445, 5.912426471710205, -8.228209495544434, -3.544813632965088, -1.94666588306427]], [-2.6302132606506348, 7.736467361450195, -0.16171623766422272, -1.8402968645095825, 0.015661196783185005], [[0.9221817851066589, -3.2148447036743164, 5.603936195373535], [3.2300732135772705, -0.04253217950463295, 0.8466744422912598], [1.3372771739959717, -1.4942655563354492, 5.601817607879639], [3.206164598464966, 4.054481506347656, 0.7443856000900269], [-1.7863377332687378, 10.503292083740234, -1.319610357284546]], [-5.169814586639404, -0.8630775213241577, 3.1587045192718506], [[3.89511775970459, -4.310265064239502, 0.7979549169540405], [7.344875335693359, 0.20258359611034393, -1.9890629053115845], [3.3633949756622314, -2.9229931831359863, 8.340023040771484]], [2.2852509021759033, 1.6132943630218506, -2.363217353820801], [[-11.165090560913086, 1.3538357019424438], [-3.9726202487945557, 5.117237091064453], [-1.5979690551757812, -3.215721845626831]], [-0.5002512335777283, 1.7864664793014526]]"
25,396.37,61.33,25,"[[[-1.0514355897903442, 10.296865463256836, 1.3178609609603882, 3.814598798751831, -0.2492021918296814], [-0.35785427689552307, -3.5655739307403564, 1.000209093093872, 0.880304217338562, 4.952311992645264], [-1.0487251281738281, 3.095954656600952, 0.7644583582878113, -5.461479663848877, 1.9277589321136475], [-2.1449735164642334, 2.194079637527466, -3.1354970932006836, 3.4291324615478516, -4.359631538391113], [6.217291355133057, 5.655827045440674, -6.341986656188965, -2.3658523559570312, -0.6414218544960022]], [0.6688288450241089, 3.242666006088257, -4.28014612197876, -2.105093002319336, -2.825834035873413], [[-0.505337655544281, 0.4528930187225342, 5.935013294219971], [4.731166839599609, 4.243515491485596, 0.4729650914669037], [0.35586076974868774, -0.6011355519294739, 1.7811802625656128], [2.9625744819641113, 2.4757535457611084, -1.4052929878234863], [-1.9227805137634277, 7.85563850402832, 0.528598427772522]], [-4.065710544586182, -1.1446163654327393, 3.0508692264556885], [[1.7712359428405762, -2.7052855491638184, -2.7241897583007812], [2.6360886096954346, -2.214052677154541, -0.14323075115680695], [-0.1203000545501709, -1.9795458316802979, 5.596606731414795]], [0.9655908942222595, 3.137967824935913, 0.10136076807975769], [[-9.799832344055176, 2.785559892654419], [-3.0608136653900146, 2.1489877700805664], [0.3213731050491333, -3.924391508102417]], [-1.913771390914917, 0.9527592062950134]]"
26,464.45,225.57,26,"[[[-1.252013921737671, 8.309712409973145, 4.211410999298096, 0.3300514817237854, 1.4326850175857544], [-3.0420262813568115, -3.5729103088378906, -3.5150675773620605, 0.5366904735565186, 5.031876564025879], [-1.372390866279602, 2.0259995460510254, 3.776993989944458, -7.535980224609375, 2.4828827381134033], [-0.09188399463891983, 3.1235294342041016, -3.0117151737213135, 2.411367654800415, -4.210109233856201], [6.5499267578125, 6.928277015686035, -5.359827995300293, -3.2745909690856934, -0.11701313406229019]], [-2.392556667327881, 7.333148956298828, -2.780787706375122, -2.7761120796203613, -1.345687985420227], [[-2.0413424968719482, -0.3372535705566406, 5.342041969299316], [1.6072800159454346, 2.9265763759613037, 2.5717251300811768], [-2.7610223293304443, 0.6347473859786987, 2.4775068759918213], [3.022292375564575, 5.387049198150635, -1.3548486232757568], [-2.964785575866699, 8.934974670410156, -0.3250572979450226]], [-5.563803672790527, -3.50911283493042, 1.3943803310394287], [[2.619089365005493, -0.9606925845146179, -0.2790537178516388], [5.493045330047607, 1.3244359493255615, 0.4510971009731293], [0.20374731719493866, -2.6097209453582764, 4.862883567810059]], [0.1478199064731598, 2.255868911743164, -0.4469129741191864], [[-10.977163314819336, 0.2223748415708542], [-3.991513967514038, -0.07773636281490326], [1.4878968000411987, -3.9792842864990234]], [-0.27695730328559875, 2.1387174129486084]]"
27,512.02,215.30,27,"[[[-0.5668856501579285, 7.4632744789123535, 3.8334434032440186, -0.01407755445688963, 1.4995832443237305], [-3.106846332550049, -5.346942901611328, -2.5347142219543457, 0.1946113407611847, 4.878600597381592], [-3.2447893619537354, 3.7066397666931152, 3.4416658878326416, -8.476463317871094, 1.7206809520721436], [-1.339511752128601, 1.977463960647583, -1.9077049493789673, 4.188351631164551, -5.065853118896484], [5.951159954071045, 6.014547348022461, -4.377004146575928, -3.985642194747925, -1.17900550365448]], [-1.7726693153381348, 6.293030261993408, -3.5320730209350586, -2.66416335105896, -2.335618495941162], [[-2.680919885635376, -0.8242125511169434, 6.575869560241699], [0.214366614818573, 4.898409366607666, -0.005925552453845739], [-2.6218934059143066, 0.8846095204353333, 3.0011959075927734], [5.722334861755371, 3.8956215381622314, -1.9911154508590698], [-2.3314945697784424, 6.764793395996094, 2.4327986240386963]], [-6.381900310516357, -2.522045850753784, 3.2242159843444824], [[2.6068265438079834, 0.6176280975341797, -1.121721625328064], [7.255908489227295, 2.805372476577759, 0.7392445802688599], [-0.4031740725040436, -3.996015787124634, 3.9776570796966553]], [-0.10136616975069046, 1.654895544052124, -0.648283839225769], [[-9.186786651611328, 1.6905840635299683], [-2.4766128063201904, 0.5408271551132202], [1.5106579065322876, -5.259147644042969]], [-1.9677584171295166, 1.6563494205474854]]"
28,340.06,251.67,28,"[[[-1.789054274559021, 7.5744757652282715, 2.7682628631591797, 0.19955188035964966, 0.05481473356485367], [-1.1248258352279663, -4.720162391662598, -1.6654603481292725, -1.0531703233718872, 4.1886677742004395], [-2.4642159938812256, 5.251646041870117, 2.757483959197998, -5.161687850952148, 2.187288284301758], [-0.8922744393348694, 0.4702354669570923, -2.428617238998413, 1.9644683599472046, -5.464023113250732], [5.310146331787109, 7.607598304748535, -5.224867820739746, -3.033454418182373, 0.5725479125976562]], [-1.4708845615386963, 6.181092262268066, -1.553795337677002, -2.179060697555542, -2.045297145843506], [[-4.398696422576904, -1.2852442264556885, 7.759899616241455], [1.3933453559875488, 2.890038251876831, 2.2891335487365723], [-0.34680697321891785, 1.5201789140701294, 3.8655734062194824], [6.651491641998291, 3.3156092166900635, -0.2926671802997589], [-0.6279181241989136, 8.472668647766113, 2.455801486968994]], [-4.278411865234375, -2.2710068225860596, 3.877283811569214], [[3.767667770385742, -0.6420304179191589, -1.1762301921844482], [6.3556809425354, 1.0193222761154175, -1.1127849817276], [-0.40608346462249756, -2.066511869430542, 5.598145484924316]], [1.838170051574707, 3.358389139175415, 0.0066667282953858376], [[-10.266960144042969, 1.479098916053772], [-1.6695938110351562, -1.1525486707687378], [4.604495048522949, -4.7920660972595215]], [-0.6792997121810913, 0.6321959495544434]]"
29,457.63,192.07,29,"[[[-0.7441110014915466, 9.423004150390625, 5.889215469360352, -0.11358682811260223, 1.090700387954712], [-2.012619972229004, -4.511390209197998, -5.419200420379639, -0.38988420367240906, 5.518286228179932], [-2.388031244277954, 1.0777159929275513, 3.342733144760132, -6.913602352142334, 1.185843825340271], [1.9149240255355835, 3.8865585327148438, -1.1203064918518066, 2.9554147720336914, -5.510141849517822], [7.136170387268066, 6.88073205947876, -5.376400470733643, -3.4143736362457275, 1.7129487991333008]], [-1.319625973701477, 7.237677097320557, -4.18026876449585, -2.164348840713501, -2.02506947517395], [[-4.547222137451172, -0.12056078016757965, 6.7740983963012695], [0.5855327248573303, 2.058619737625122, 3.1797659397125244], [-5.516147136688232, 0.5787636637687683, 3.7675869464874268], [2.095968723297119, 3.413832426071167, -1.5522223711013794], [-1.3941682577133179, 7.132864475250244, 0.7549751400947571]], [-5.113539695739746, -2.485161066055298, 0.1882798969745636], [[1.9836108684539795, 0.7877909541130066, 1.1000324487686157], [4.036123752593994, 2.2256529331207275, 0.3969476521015167], [1.5366820096969604, -3.9900431632995605, 6.157273292541504]], [0.8091055750846863, 1.5251094102859497, -0.6106137037277222], [[-9.203051567077637, 3.4082260131835938], [-1.9439834356307983, 1.0521196126937866], [1.2581095695495605, -2.8479785919189453]], [-0.4165323078632355, 1.0503110885620117]]"
30,434.90,216.27,30,"[[[-0.5547991394996643, 8.902074813842773, 3.8117096424102783, -2.4460363388061523, 1.002940058708191], [0.36554840207099915, -0.6970021724700928, -1.7241662740707397, 1.9785175323486328, 5.560457706451416], [-1.7579972743988037, 0.06433773040771484, 0.458035945892334, -11.211007118225098, 4.597006797790527], [-0.8543196320533752, 4.164233684539795, -3.1982338428497314, 4.480904579162598, -5.389725685119629], [5.46223783493042, 6.689626216888428, -6.3377485275268555, -0.0512961745262146, 0.333753764629364]], [-0.2135755568742752, 8.855488777160645, -2.3069398403167725, -1.9331148862838745, -1.9699066877365112], [[-2.8713250160217285, -0.31500932574272156, 4.842650413513184], [1.7182303667068481, 2.117859125137329, -0.3700406551361084], [-2.60807466506958, 0.525804877281189, 3.865478992462158], [4.127580165863037, 4.993327617645264, -0.2669038772583008], [-4.242094993591309, 8.013521194458008, -1.1552269458770752]], [-4.557179927825928, -2.2030131816864014, 2.5962460041046143], [[3.945873260498047, -3.9523234367370605, 1.783618450164795], [8.104988098144531, -0.670448899269104, 2.2452454566955566], [-0.1648823469877243, -2.8983752727508545, 3.8777568340301514]], [1.5626757144927979, 2.599581003189087, 1.056009292602539], [[-8.456747055053711, 3.4118494987487793], [-1.2838209867477417, 3.1671218872070312], [1.4803463220596313, -5.6279215812683105]], [-0.6714920401573181, 3.1682841777801514]]"
31,335.57,196.63,31,"[[[-0.365990549325943, 8.703771591186523, 3.0027878284454346, -1.42830228805542, -0.3416264057159424], [-2.775707483291626, 0.16061192750930786, -1.982599139213562, 1.1333669424057007, 5.265038967132568], [-4.092108726501465, -0.5535106062889099, 1.4227218627929688, -9.401744842529297, 5.487045764923096], [-0.5614456534385681, 4.285710334777832, -3.203913927078247, 4.647927284240723, -4.986978054046631], [6.0403971672058105, 7.163137912750244, -7.7003021240234375, -2.5821046829223633, 0.28987911343574524]], [-1.0115734338760376, 9.631982803344727, -3.2733733654022217, -4.061522960662842, -2.267225503921509], [[-4.736656665802002, -0.33546024560928345, 5.238343238830566], [2.557110548019409, 3.1514127254486084, 1.307345986366272], [-1.987309217453003, 0.40351593494415283, 2.3420004844665527], [3.340505838394165, 3.7322585582733154, -0.5783265233039856], [-4.962352752685547, 9.893998146057129, 0.9350109100341797]], [-3.2410387992858887, -2.101001739501953, 1.8271938562393188], [[2.481862783432007, -3.092172861099243, 2.2724645137786865], [7.913534164428711, -0.5468630790710449, 2.4188156127929688], [3.0505752563476562, -4.518160820007324, 3.702364921569824]], [0.6268731355667114, 1.2485111951828003, 1.7565802335739136], [[-6.493671894073486, 1.934756875038147], [-2.326686382293701, 2.1806254386901855], [2.114673376083374, -6.088357925415039]], [2.037672281265259, 1.7540009021759033]]"
32,342.92,266.00,32,"[[[-0.6282058358192444, 5.75927209854126, 2.0605521202087402, 0.6117073893547058, -1.2248719930648804], [0.42310360074043274, -6.334747791290283, -1.8613470792770386, -2.6026957035064697, 3.4409849643707275], [-3.0599851608276367, 7.451294898986816, 1.7725666761398315, -3.333116054534912, 2.785871744155884], [-1.221101999282837, 1.2438346147537231, -0.9662649035453796, 1.7254525423049927, -3.579131603240967], [7.990811347961426, 7.667036056518555, -5.662510871887207, -4.379396915435791, 0.9948750734329224]], [-2.8451905250549316, 4.084317684173584, -1.0215749740600586, -3.0915348529815674, -1.5431362390518188], [[-2.4860494136810303, -1.8554834127426147, 6.583578586578369], [0.9858859777450562, 2.3646647930145264, -1.2732311487197876], [0.32273703813552856, 1.0299679040908813, 6.213695526123047], [7.114992141723633, 2.3974244594573975, -0.8215817809104919], [-1.4338765144348145, 8.444747924804688, 0.7899728417396545]], [-4.706745147705078, -4.411787033081055, 4.164135932922363], [[3.73707914352417, 2.7365171909332275, -0.3779117166996002], [6.476984977722168, 0.3155275881290436, -0.7410674095153809], [0.6760516166687012, -2.5093538761138916, 6.25022029876709]], [2.3864359855651855, 5.013645172119141, -1.284532070159912], [[-12.12228775024414, 2.3796072006225586], [-3.2167794704437256, -2.4375507831573486], [2.0207021236419678, -6.638322353363037]], [0.13946020603179932, -0.07273067533969879]]"
